wid|person|personLabel|photo|genderLabel|citizenshipLabel|sitelink|lccn|description|birth|pPrize
Q7626494|http://www.wikidata.org/entity/Q7626494|Stuart Dybek||male|United States of America|https://en.wikipedia.org/wiki/Stuart_Dybek|n79020261|Short fiction writer, poet|1942-04-10T00:00:00Z|false
Q458336|http://www.wikidata.org/entity/Q458336|Barry Hannah||male|United States of America|https://en.wikipedia.org/wiki/Barry_Hannah|n80014822|Short story writer, novelist, professor|1942-04-23T00:00:00Z|false
Q7822271|http://www.wikidata.org/entity/Q7822271|Tony Earley||male|United States of America|https://en.wikipedia.org/wiki/Tony_Earley|n93032523|Novelist, short story writer|1961-01-01T00:00:00Z|false
Q462270|http://www.wikidata.org/entity/Q462270|Sylvia Townsend Warner||female|United Kingdom of Great Britain and Ireland|https://en.wikipedia.org/wiki/Sylvia_Townsend_Warner|n79059730|writer, poet, activist|1893-12-06T00:00:00Z|false
Q450346|http://www.wikidata.org/entity/Q450346|Edwidge Danticat|http://commons.wikimedia.org/wiki/Special:FilePath/Edwidge%20Danticat%20by%20David%20Shankbone.jpg|female|United States of America|https://en.wikipedia.org/wiki/Edwidge_Danticat|n93100617|Novelist, short story writer, memoirist|1969-01-19T00:00:00Z|false
Q456855|http://www.wikidata.org/entity/Q456855|Curtis Sittenfeld||female|United States of America|https://en.wikipedia.org/wiki/Curtis_Sittenfeld|n2004040233|American novelist|1975-08-23T00:00:00Z|false
Q7922413|http://www.wikidata.org/entity/Q7922413|Veronica Geng||female||https://en.wikipedia.org/wiki/Veronica_Geng|n83303613|American editor and writer|1941-01-01T00:00:00Z|false
Q16203965|http://www.wikidata.org/entity/Q16203965|Julie Hayden||female|United States of America|https://en.wikipedia.org/wiki/Julie_Hayden|no2015155276|American writer|1938-01-01T00:00:00Z|false
Q23014955|http://www.wikidata.org/entity/Q23014955|Tessa Hadley||female|United Kingdom|https://en.wikipedia.org/wiki/Tessa_Hadley|n82107548|British author of novels, short stories and non-fiction|1956-02-28T00:00:00Z|false
Q462270|http://www.wikidata.org/entity/Q462270|Sylvia Townsend Warner||female|United Kingdom|https://en.wikipedia.org/wiki/Sylvia_Townsend_Warner|n79059730|writer, poet, activist|1893-12-06T00:00:00Z|false
Q7787556|http://www.wikidata.org/entity/Q7787556|Thomas Beller||male|United States of America|https://en.wikipedia.org/wiki/Thomas_Beller|n94086654|American writer|1965-05-23T00:00:00Z|false
Q464960|http://www.wikidata.org/entity/Q464960|Monica Ali|http://commons.wikimedia.org/wiki/Special:FilePath/Monica%20Ali%20Frankfurter%20Buchmesse%202009.jpg|female|Pakistan|https://en.wikipedia.org/wiki/Monica_Ali|n2003033939|British writer and novelist|1967-10-20T00:00:00Z|false
Q465208|http://www.wikidata.org/entity/Q465208|Jhumpa Lahiri|http://commons.wikimedia.org/wiki/Special:FilePath/Jhumpa%20Lahiri%20Mantova%20%28cropped%29.jpg|female|United States of America|https://en.wikipedia.org/wiki/Jhumpa_Lahiri|n98100024|Short story writer, novelist|1967-07-11T00:00:00Z|true
Q464960|http://www.wikidata.org/entity/Q464960|Monica Ali|http://commons.wikimedia.org/wiki/Special:FilePath/Monica%20Ali%20Frankfurter%20Buchmesse%202009.jpg|female|United Kingdom|https://en.wikipedia.org/wiki/Monica_Ali|n2003033939|British writer and novelist|1967-10-20T00:00:00Z|false
Q1334139|http://www.wikidata.org/entity/Q1334139|Gary Shteyngart|http://commons.wikimedia.org/wiki/Special:FilePath/GaryShteyngart.jpg|male|United States of America|https://en.wikipedia.org/wiki/Gary_Shteyngart|n2001043438|American journalist and writer|1972-07-05T00:00:00Z|false
Q47619|http://www.wikidata.org/entity/Q47619|Nadine Gordimer|http://commons.wikimedia.org/wiki/Special:FilePath/Nadine%20Gordimer%2001.JPG|female|South Africa|https://en.wikipedia.org/wiki/Nadine_Gordimer|n80037754|South African Nobel-winning writer|1923-11-20T00:00:00Z|false
Q1351972|http://www.wikidata.org/entity/Q1351972|Frank O'Connor||male|Ireland|https://en.wikipedia.org/wiki/Frank_O%27Connor|n80010451|Irish writer|1903-09-17T00:00:00Z|false
Q178225|http://www.wikidata.org/entity/Q178225|Edna O'Brien|http://commons.wikimedia.org/wiki/Special:FilePath/Hayfestival-2016-Edna-O%27Brien-2.jpg|female|Ireland|https://en.wikipedia.org/wiki/Edna_O%27Brien|n78091520|Novelist, memoirist, biographer, playwright, poet and short story writer|1930-12-15T00:00:00Z|false
Q154756|http://www.wikidata.org/entity/Q154756|Italo Calvino|http://commons.wikimedia.org/wiki/Special:FilePath/Italo-Calvino.jpg|male|Italy|https://en.wikipedia.org/wiki/Italo_Calvino|n79128096|Italian journalist and writer of short stories and novels|1923-10-15T00:00:00Z|false
Q47681708|http://www.wikidata.org/entity/Q47681708|Robert Gorham Davis||male||||American literary critic and professor|1908-01-01T00:00:00Z|false
Q47504827|http://www.wikidata.org/entity/Q47504827|Stephanie Vaughn||female|||n88157116|American writer||false
Q215436|http://www.wikidata.org/entity/Q215436|Lore Segal||female|United States of America|https://en.wikipedia.org/wiki/Lore_Segal|n50005777|Novelist, translator, teacher, children's author|1928-03-09T00:00:00Z|false
Q47504712|http://www.wikidata.org/entity/Q47504712|Steven Polansky||male|||n98090227|American writer|1949-01-01T00:00:00Z|false
